relative_path,filename,extension,size_bytes,sha256,row_count,columns_or_keys,label_distribution,has_claims,has_evidence,has_predictions,category
Gemma_Challenge_Brief_AI_Seekho_Day.pdf,Gemma_Challenge_Brief_AI_Seekho_Day.pdf,.pdf,164306,1cd1ed62c27b0ab81e5c9438f341d0b87e35ec5010078de11a11c45d166c2977,,,,N/A,N/A,N/A,Documentation / Report / Presentation
Gemma_Claim_Verification_Submission_Report.docx,Gemma_Claim_Verification_Submission_Report.docx,.docx,37861,ce2adac0075b41d684339e786dfdb9b763eb99312861f01f4a6838ca4d156c16,,,,N/A,N/A,N/A,Documentation / Report / Presentation
Gemma_Fine_Tuning_Hackathon_Playbook.pdf,Gemma_Fine_Tuning_Hackathon_Playbook.pdf,.pdf,591242,2a221d92737ffd8c80fcd0d09b8793aa5232334bd592aed11ec983721069bea9,,,,N/A,N/A,N/A,Documentation / Report / Presentation
Gemma_Hackathon_Beginner_Team_Guide.docx,Gemma_Hackathon_Beginner_Team_Guide.docx,.docx,59267,7096d39d5297b3f45db1be2efdd857ebd86551ea319a70d4d0500cee848c5e49,,,,N/A,N/A,N/A,Documentation / Report / Presentation
Gemma_Hackathon_Preparation_Guide.pdf,Gemma_Hackathon_Preparation_Guide.pdf,.pdf,129731,17a02d8c3b7037249609f2abbe3b088afa81d10913708514c63ef045279d1aff,,,,N/A,N/A,N/A,Documentation / Report / Presentation
Gemma_Hackathon_Team_Rehearsal_Guide_Dataset_A.docx,Gemma_Hackathon_Team_Rehearsal_Guide_Dataset_A.docx,.docx,60079,c9f1d64a421d91b0d008c20118a428697c73743867edf2a0723f51cf0ed06d65,,,,N/A,N/A,N/A,C. Pre-Hackathon Practice Data (Dataset A Rehearsal Guide)
Muhammad Umar Farooq - Team.pptx,Muhammad Umar Farooq - Team.pptx,.pptx,34910,dce0a5e8caa10fa96c4c1a1580cebc807bade670d05b3e10ecc1f1b4751d7eab,,,,N/A,N/A,N/A,Documentation / Report / Presentation
blind_final_120_BALANCED_GOLD.jsonl,blind_final_120_BALANCED_GOLD.jsonl,.jsonl,48177,79a3f86d67937b307aeb22de8e6189d69051f28c01c12e4816821f1448124e32,120,"id, claim, evidence, label, reasoning_family",REFUTES:40; NOT_ENOUGH_INFO:40; SUPPORTS:40,True,True,False,D. Model Evaluation / Stress Data (Blind 120 Set & Manifest)
blind_final_120_BALANCED_INPUT_ONLY.jsonl,blind_final_120_BALANCED_INPUT_ONLY.jsonl,.jsonl,39851,67514fdda49707d78a5d52cbf1b8f06d6666f0724b938b59168edd2984f8b030,120,"id, claim, evidence",,True,True,False,D. Model Evaluation / Stress Data (Blind 120 Set & Manifest)
blind_final_120_BALANCED_MANIFEST.json,blind_final_120_BALANCED_MANIFEST.json,.json,3946,824f171e393fb5f555caed7593e14dab5fa683a6c6de6968b64aa478cfbfa1f8,,,,N/A,N/A,N/A,D. Model Evaluation / Stress Data (Blind 120 Set & Manifest)
d4_contrastive_train_v1.jsonl,d4_contrastive_train_v1.jsonl,.jsonl,67520,17258cbc0e40f4ebd1cd4d583e3a331e59217d62cf4ff36741e8b1e3a7a98f41,150,"id, claim, evidence, label",SUPPORTS:50; REFUTES:50; NOT_ENOUGH_INFO:50,True,True,False,B. Final Competition-Derived Data (Audited Contrastive 150)
external_stress_30_v1.jsonl,external_stress_30_v1.jsonl,.jsonl,10986,05624200845a79228ac4e05540b013ea0836d049802fcd3f9dcc60ada8aecedc,30,"id, claim, evidence, label",SUPPORTS:11; REFUTES:10; NOT_ENOUGH_INFO:9,True,True,False,D. Model Evaluation / Stress Data (External Stress 30)
fine-tunning-notebook.ipynb,fine-tunning-notebook.ipynb,.ipynb,1183018,56e200d4029845751883696fcf562a57dacbdecf96788731f537c0d3802e1780,,,,N/A,N/A,N/A,Jupyter Notebook
gemini final metrics.zip,gemini final metrics.zip,.zip,25963,0f776ab132aad1281a736cc55ef5ee5ea979c8be509818d38075cf6e8babc5a9,,,,N/A,N/A,N/A,A. Official Organizer Data (Supervised Event-Day Test & Verification Key)
gemma-fine-tunning.ipynb,gemma-fine-tunning.ipynb,.ipynb,58767,240cb744b67b518d0791a08672da92bfb8967d1c32ef77d11b49ee4c15dc9866,,,,N/A,N/A,N/A,Jupyter Notebook
gemma2_9b_factcheck_frozen_model.zip,gemma2_9b_factcheck_frozen_model.zip,.zip,90731126,15237013e8945fd93843945e2101c9c53c2f22d005b1bb27b5f615ad0253efd8,,,,N/A,N/A,N/A,UNKNOWN
gemma_factcheck_v7_frozen_model.zip,gemma_factcheck_v7_frozen_model.zip,.zip,102541506,b000501bdb485392e39aef74ebc92d14dfbb3f4ee84adb78392609a448b37f37,,,,N/A,N/A,N/A,UNKNOWN
hackathon_gemma2b_training_v1_r16_lr1e4_ep2_complete_model_artifacts.zip,hackathon_gemma2b_training_v1_r16_lr1e4_ep2_complete_model_artifacts.zip,.zip,38197780,70e932ff2c367e5247ce8cf5abf5ddd1710c6d2214fcb2d0aac063eb628aaa58,,,,N/A,N/A,N/A,UNKNOWN
submission.csv,submission.csv,.csv,13536,d4df310da9eb95205daf6bc9ad1f8cc874f7afe5f6d432ce8373f0a9f88dd012,500,"id, label",REFUTES:142; SUPPORTS:191; NOT_ENOUGH_INFO:167,False,False,False,E. Generated Model Outputs (Final Official Test 500 Submission CSV)
synthetic_a2_v1_train_RECOVERED.jsonl,synthetic_a2_v1_train_RECOVERED.jsonl,.jsonl,68132,9b0aad0c39b119e47a91e8c901c5372e0b5e70263606988cfb6f6eee6ba75f52,180,"id, claim, evidence, label",SUPPORTS:60; REFUTES:60; NOT_ENOUGH_INFO:60,True,True,False,D. Model Evaluation / Stress Data (Old Synthetic Stress 180)
test-notebook.ipynb,test-notebook.ipynb,.ipynb,34138,7ac30e024dfece9f4abf16e5c6efc928cf6bfe8722ddc19004b4673448864cb5,,,,N/A,N/A,N/A,Jupyter Notebook
train_clean_v3_semantic.jsonl,train_clean_v3_semantic.jsonl,.jsonl,344477,9ee258d364e6ac9ada963aa79df32c2c6785ee2fc2e3af58f32b3817eae02c4e,935,"id, claim, evidence, label",SUPPORTS:348; REFUTES:311; NOT_ENOUGH_INFO:276,True,True,False,B. Final Competition-Derived Data (Clean 935 Semantic)
train_clean_v3_semantic_recovered.jsonl,train_clean_v3_semantic_recovered.jsonl,.jsonl,353013,b706dbf0c0b4aab4cbcd07bb89c5d018f7c41e47a55b757016ef3d07a9713337,935,"id, claim, evidence, label",SUPPORTS:348; REFUTES:311; NOT_ENOUGH_INFO:276,True,True,False,B. Final Competition-Derived Data (Clean 935 Semantic)
Gemma Fine Tuning Paticipants /.DS_Store,.DS_Store,,8196,4793581568b44fb7b670d9a625054c41fdb1eb638ffa719728a1a80f6be5f960,,,,N/A,N/A,N/A,UNKNOWN
Gemma Fine Tuning Paticipants /E0.ipynb,E0.ipynb,.ipynb,14080,82779681e27dc6e056d1f0b8c2a23706d9ff38da2ee8095f8594c8f940f6978b,,,,N/A,N/A,N/A,Jupyter Notebook
Gemma Fine Tuning Paticipants /Gemma_Challenge_Brief_AI_Seekho_Day.pdf,Gemma_Challenge_Brief_AI_Seekho_Day.pdf,.pdf,183471,9817b4e17ea5e3711daf70008ccb9f4346e4530954ebff6964000cccd16b0618,,,,N/A,N/A,N/A,Documentation / Report / Presentation
Gemma Fine Tuning Paticipants /README_PARTICIPANTS.md,README_PARTICIPANTS.md,.md,1223,c925654bf2528b7829ccff7639ee6f52596fa2cf38bd9fae250cbb5a484a06c3,,,,N/A,N/A,N/A,Documentation / Report / Presentation
Gemma Fine Tuning Paticipants /RUNTIME_RESET_GUIDE.md,RUNTIME_RESET_GUIDE.md,.md,1067,ce711bab116eaa21c441a966e96a7a9de68a95576c08238049d2978c42770cf1,,,,N/A,N/A,N/A,Documentation / Report / Presentation
Gemma Fine Tuning Paticipants /START_HERE.md,START_HERE.md,.md,1160,f069e018732539e6c0f5470c2c3437133c2cd325d499692531e963ec361b6f07,,,,N/A,N/A,N/A,Documentation / Report / Presentation
Gemma Fine Tuning Paticipants /Student_Preparation_Message.md,Student_Preparation_Message.md,.md,1093,6630a6b60bc53f14f6419dd2ca7861483d2929c28f2c1e9487240d9df4ec98bf,,,,N/A,N/A,N/A,Documentation / Report / Presentation
Gemma Fine Tuning Paticipants /checksums.sha256,checksums.sha256,.sha256,1216,c9e948bcef226ef5676046e496a8b8ae849caf30e78e92760f4ad3b901e0a13f,,,,N/A,N/A,N/A,UNKNOWN
Gemma Fine Tuning Paticipants /requirements.txt,requirements.txt,.txt,144,b1f92716464f871304f7fd0689e23781835c3b0b3270d4829dcbe0fc42d8159a,,,,N/A,N/A,N/A,Documentation / Report / Presentation
Gemma Fine Tuning Paticipants /sample_submission.csv,sample_submission.csv,.csv,29,2c3b18ed0f200b458dcff679c0d0b19d526fd12dfdeb703a0783b44a9797293a,1,"id, label",SUPPORTS:1,False,False,False,A. Official Organizer Data (Test / Gold / Sample Submission)
Gemma Fine Tuning Paticipants /notebook/.DS_Store,.DS_Store,,6148,d65165279105ca6773180500688df4bdc69a2c7b771752f0a46ef120b7fd8ec3,,,,N/A,N/A,N/A,UNKNOWN
Gemma Fine Tuning Paticipants /notebook/Gemma_FactCheck_All_In_One_Participant.ipynb,Gemma_FactCheck_All_In_One_Participant.ipynb,.ipynb,47513,c20a8aa4683568d3444d7a5b3353cb3405236d0a0ab1f907de150f5aa7196617,,,,N/A,N/A,N/A,Jupyter Notebook
Gemma Fine Tuning Paticipants /data/train.jsonl,train.jsonl,.jsonl,380129,26ea9a6998815d0f99f45aff2206f435781cc71bd92638101d7ea08c2e175d3c,1000,"id, claim, evidence, label",SUPPORTS:356; REFUTES:315; NOT_ENOUGH_INFO:274; refutes:8; :10; NEI:6; supports:4; not enough info:7;  NOT_ENOUGH_INFO :1; Supports:5;  SUPPORTED :5;  REFUTED :6; Refutes:3,True,True,False,A. Official Organizer Data (Train 1000 Raw)
Gemma Fine Tuning Paticipants /data/validation.jsonl,validation.jsonl,.jsonl,112820,722a5f111693996369a02d26eda08f00cdfb51f5b8b842addb752814f03716c9,300,"id, claim, evidence, label",REFUTES:100; NOT_ENOUGH_INFO:100; SUPPORTS:100,True,True,False,A. Official Organizer Data (Validation 300 Balanced)
LLM Fine Tunning/adapter_config.json,adapter_config.json,.json,1083,c0165c5b1e2ff8aaba67cf600c5e6ea313169401299280795c5560f14d1d883f,,,,N/A,N/A,N/A,C. Pre-Hackathon Practice Data (PakAssist Intent Routing Experiment)
LLM Fine Tunning/adapter_model.safetensors,adapter_model.safetensors,.safetensors,10729912,66964a41526c07ca78e26929b22f35a966c009e79067fbeede06af8d3164ce60,,,,N/A,N/A,N/A,C. Pre-Hackathon Practice Data (PakAssist Intent Routing Experiment)
LLM Fine Tunning/chat_template.jinja,chat_template.jinja,.jinja,18569,0a2c8073c878ab1da004bee933a998606537bbb62016310352c7285c3f01c5b5,,,,N/A,N/A,N/A,C. Pre-Hackathon Practice Data (PakAssist Intent Routing Experiment)
LLM Fine Tunning/clean_validation.parquet,clean_validation.parquet,.parquet,391133,55a3ba45c7eda6566596b37d0facaf20c6ca91626319eef4b002f90117aa9e74,,,,N/A,N/A,N/A,C. Pre-Hackathon Practice Data (PakAssist Intent Routing Experiment)
LLM Fine Tunning/decoder.py,decoder.py,.py,640,70ee62b9517ae0350b761c6d6bd44a6c393c5e6b0febce28de0e31de64544970,,,,N/A,N/A,N/A,C. Pre-Hackathon Practice Data (PakAssist Intent Routing Experiment)
LLM Fine Tunning/e3_allocation.csv,e3_allocation.csv,.csv,4847,bdd9c89ad04986fb1372fa3f3a08cd114d6f3af23c607823565c3d3fb7a6fb9a,60,", precision, recall, f1-score, support, available_train, false_negatives, target_per_language, e3_train_examples",,False,False,False,C. Pre-Hackathon Practice Data (PakAssist Intent Routing Experiment)
LLM Fine Tunning/e3_train.parquet,e3_train.parquet,.parquet,595793,8896a85d2c02b2e6b508008e395003624538838d7cd8d31fbfde9c3ec199f9f1,,,,N/A,N/A,N/A,C. Pre-Hackathon Practice Data (PakAssist Intent Routing Experiment)
LLM Fine Tunning/experiment_config.json,experiment_config.json,.json,419,312227ea0b33e488b8300c27b179468883bcdc7b219b3a7c78638e4cbf7eefe5,,,,N/A,N/A,N/A,C. Pre-Hackathon Practice Data (PakAssist Intent Routing Experiment)
LLM Fine Tunning/gemma_e3_final_test_predictions.csv,gemma_e3_final_test_predictions.csv,.csv,732500,adcb1e80a95f1dfd6a1a0cd8df8e2c2e4b9f6438ba6a9f21888ef277397a2fe4,5948,"id, language, utt, intent_name, raw_prediction, prediction, correct, valid",,False,False,True,C. Pre-Hackathon Practice Data (PakAssist Intent Routing Experiment)
LLM Fine Tunning/intent_names.json,intent_names.json,.json,1188,cb27bfa56d447e2691695665aed483a86c91ecc2decfd22614d89a01c524c5bc,,,,N/A,N/A,N/A,C. Pre-Hackathon Practice Data (PakAssist Intent Routing Experiment)
LLM Fine Tunning/llm-fine-tunning.ipynb,llm-fine-tunning.ipynb,.ipynb,156691,93d9b4493dfab3e46bcdbbb9a4ef53331808f52196f99ea4c98df6c32df75992,,,,N/A,N/A,N/A,C. Pre-Hackathon Practice Data (PakAssist Intent Routing Experiment)
LLM Fine Tunning/processor_config.json,processor_config.json,.json,1689,32bdf45d2ad4cc29a0822ddd157a182de76644f0419a6228d151495256e9813c,,,,N/A,N/A,N/A,C. Pre-Hackathon Practice Data (PakAssist Intent Routing Experiment)
LLM Fine Tunning/tokenizer.json,tokenizer.json,.json,32169878,9fd8419025d94bc0a11cf22cf44c356437bb0e649e32cd051687a81e6f6ff006,,,,N/A,N/A,N/A,C. Pre-Hackathon Practice Data (PakAssist Intent Routing Experiment)
LLM Fine Tunning/tokenizer_config.json,tokenizer_config.json,.json,3729,3ab5c7b94dc97d65ca7064496fa69b88ff875378e1cb7ee3e43070c3a8170999,,,,N/A,N/A,N/A,C. Pre-Hackathon Practice Data (PakAssist Intent Routing Experiment)
LLM Fine Tunning/train_clean.parquet,train_clean.parquet,.parquet,2056674,e2ae53778494504ca0f90e889de8f2532cfcfb2ce5da459df0ea14e12defc4c7,,,,N/A,N/A,N/A,C. Pre-Hackathon Practice Data (PakAssist Intent Routing Experiment)
